Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Market buy,2025-01-22 14:57:36.121,US68389X1054,ORCL,"Oracle",,EOF26952905032,0.0538603000,183.66,USD,1.23341430,,"GBP",8.03,"GBP",0.01,"GBP"
Market buy,2025-01-22 14:57:36.121,US24703L2025,DELL,"Dell Technologies",,EOF26952905036,0.0721382000,120.05,USD,1.23364542,,"GBP",7.03,"GBP",0.01,"GBP"
Market sell,2025-01-24 12:39:23.743,IE00BK5BR733,VFEG,"Vanguard FTSE Emerging Markets (Acc)",,EOF27005799488,9.1673450000,50.96,GBP,1.00000000,7.17,"GBP",467.17,"GBP",,
Market sell,2025-01-24 12:39:27.175,IE00BNG8L278,V3AB,"Vanguard ESG Global All Cap (Acc)",,EOF27005799492,183.4195400000,5.39,GBP,1.00000000,27.90,"GBP",987.90,"GBP",,
Market sell,2025-01-24 12:39:30.552,IE00B53SZB19,CNX1,"iShares NASDAQ 100 (Acc)",,EOF27005799508,0.3958517200,100825.00,GBX,100.00000000,15.12,"GBP",399.12,"GBP",,
Market buy,2025-01-24 12:49:02.735,IE000X9FTI22,HIWS,"HSBC MSCI World Islamic ESG",,EOF27051350684,45.8015210000,20.96,GBP,1.00000000,,"GBP",960.00,"GBP",,
Market buy,2025-01-24 12:58:48.591,XS2545629631,HLAL,"Wahed FTSE USA Shariah (Acc)",,EOF27051352204,46.4428637600,1279.40,GBX,100.00000000,,"GBP",594.19,"GBP",,
Market buy,2025-01-24 14:30:00.604,US4581401001,INTC,"Intel",,EOF27051362511,0.5036500000,21.42,USD,1.24144798,,"GBP",8.70,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:01.9,US17275R1023,CSCO,"Cisco Systems",,EOF27051364522,0.2605100000,62.07,USD,1.24192440,,"GBP",13.04,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:01.9,US11135F1012,AVGO,"Broadcom",,EOF27051364512,0.0755737000,244.81,USD,1.24169110,,"GBP",14.92,"GBP",0.02,"GBP"
Market buy,2025-01-24 14:30:03.644,US67066G1040,NVDA,"Nvidia",,EOF27051366272,0.0798045000,148.39,USD,1.24131968,,"GBP",9.55,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:03.644,US5738741041,MRVL,"Marvell Technology",,EOF27051366269,0.1816742000,126.68,USD,1.24201228,,"GBP",18.56,"GBP",0.03,"GBP"
Market buy,2025-01-24 14:30:04.343,US1717793095,CIEN,"Ciena",,EOF27051368296,0.0803850000,99.65,USD,1.24191709,,"GBP",6.46,"GBP",0.01,"GBP"
Market buy,2025-01-24 14:30:04.343,US2538681030,DLR,"Digital Realty Trust",,EOF27051368290,0.0991331000,184.00,USD,1.24169437,,"GBP",14.71,"GBP",0.02,"GBP"
